0.	0.
0.005	8.891762950550111e-14
0.01	1.899569023947089e-13
0.015	3.044040366135207e-13
0.02	4.3367117470770124e-13
0.025	5.793083825157927e-13
0.03	7.430167873983336e-13
0.035	9.266629652515296e-13
0.04	1.1322946962067136e-12
0.045	1.3621582206318657e-12
0.05	1.6187171399369189e-12
0.055	1.904673120859805e-12
0.06	2.2229885775087657e-12
0.065	2.5769115226037275e-12
0.07	2.9700027982587538e-12
0.075	3.406165917457128e-12
0.08	3.889679770289012e-12
0.085	4.4252344742698094e-12
0.09	5.0179706758754995e-12
0.095	5.673522641092063e-12
0.1	6.398065506575966e-12
0.105	7.1983671002911055e-12
0.11	8.081844781594805e-12
0.115	9.056627796092776e-12
0.12	1.0131625690625809e-11
0.125	1.1316603388984043e-11
0.13	1.2622263589930689e-11
0.135	1.406033721646089e-11
0.14	1.5643682719620236e-11
0.145	1.738639512240814e-11
0.15	1.9303925780151535e-11
0.155	2.1413213934179288e-11
0.16	2.3732831246716225e-11
0.165	2.6283140627792912e-11
0.17	2.9086470800944254e-11
0.17500000000000002	3.216730820496319e-11
0.18	3.5552507995612495e-11
0.185	3.9271526095737366e-11
0.19	4.335667444667314e-11
0.195	4.784340184040927e-11
0.2	5.2770602963131973e-11
0.20500000000000002	5.818095855928398e-11
0.21	6.412130993420696e-11
0.215	7.06430713562586e-11
0.22	7.780268429977445e-11
0.225	8.566211789276887e-11
0.23	9.428942040252915e-11
0.23500000000000001	1.037593271136901e-10
0.24	1.1415393053293398e-10
0.245	1.2556341949886585e-10
0.25	1.380868944923863e-10
0.255	1.5183326724041882e-10
0.26	1.669222535935892e-10
0.265	1.8348546964696545e-10
0.27	2.0166764217409472e-10
0.275	2.2162794567161e-10
0.28	2.435414796796087e-10
0.28500000000000003	2.676009015684679e-10
0.29	2.940182316847495e-10
0.295	3.230268496483901e-10
0.3	3.5488370271440405e-10
0.305	3.8987174948146974e-10
0.31	4.2830266487742175e-10
0.315	4.70519835311505e-10
0.32	5.169016761937858e-10
0.325	5.678653077262978e-10
0.33	6.238706290171721e-10
0.335	6.854248352127661e-10
0.34	7.530874275462207e-10
0.34500000000000003	8.274757720331492e-10
0.35000000000000003	9.09271269086352e-10
0.355	9.992262036603928e-10
0.36	1.098171353775345e-9
0.365	1.20702444452115e-9
0.37	1.3267995450406923e-9
0.375	1.4586175176769668e-9
0.38	1.6037176416156152e-9
0.385	1.7634705481477454e-9
0.39	1.939392621334391e-9
0.395	2.1331620366184216e-9
0.4	2.3466366310789717e-9
0.405	2.581873822875635e-9
0.41000000000000003	2.841152824342442e-9
0.41500000000000004	3.1269994235776157e-9
0.42	3.442213643699384e-9
0.425	3.789900627735722e-9
0.43	4.17350514099359e-9
0.435	4.596850132408388e-9
0.44	5.064179852597642e-9
0.445	5.580208090046935e-9
0.45	6.150172159077852e-9
0.455	6.779893355178429e-9
0.46	7.475844686282694e-9
0.465	8.245226794233836e-9
0.47000000000000003	9.096053100748093e-9
0.47500000000000003	1.0037245348787954e-8
0.48	1.1078740865718904e-8
0.485	1.2231613051704667e-8
0.49	1.3508206798629758e-8
0.495	1.4922290775065838e-8
0.5	1.648922877558746e-8
0.505	1.8226172632940396e-8
0.51	2.0152279534745522e-8
0.515	2.2288956979042305e-8
0.52	2.4660139052520098e-8
0.525	2.72925982304031e-8
0.53	3.0216297487705884e-8
0.535	3.346478818961896e-8
0.54	3.7075660007662046e-8
0.545	4.109105000374856e-8
0.55	4.555821905476641e-8
0.555	5.053020497710822e-8
0.56	5.606656307876148e-8
0.5650000000000001	6.223420644521908e-8
0.5700000000000001	6.910836008874252e-8
0.5750000000000001	7.677364519827163e-8
0.58	8.532531216635421e-8
0.585	9.487064389473066e-8
0.59	1.0553055415612145e-7
0.595	1.1744140959220269e-7
0.6	1.3075710834595272e-7
0.605	1.4565145346586168e-7
0.61	1.623208652041e-7
0.615	1.8098748330770567e-7
0.62	2.0190271854486605e-7
0.625	2.2535132222373017e-7
0.63	2.5165605359342524e-7
0.635	2.8118303805677523e-7
0.64	3.1434792441790037e-7
0.645	3.516229673478111e-7
0.65	3.9354518237009084e-7
0.655	4.4072574553558976e-7
0.66	4.938608392756564e-7
0.665	5.537441805435712e-7
0.67	6.212815082912582e-7
0.675	6.975073558068729e-7
0.68	7.836044909349329e-7
0.685	8.809264754978484e-7
0.6900000000000001	9.910238764946921e-7
0.6950000000000001	1.115674758486651e-6
0.7000000000000001	1.2569202021699713e-6
0.705	1.417105732356598e-6
0.71	1.5989297041539542e-6
0.715	1.805499894831675e-6
0.72	2.0403997877580426e-6
0.725	2.3077663225693173e-6
0.73	2.6123812330893876e-6
0.735	2.959778514635821e-6
0.74	3.3563710715381212e-6
0.745	3.8096002141778295e-6
0.75	4.328112427770525e-6
0.755	4.921968753775819e-6
0.76	5.602893248391521e-6
0.765	6.38456836013983e-6
0.77	7.282986761767285e-6
0.775	8.316871258343637e-6
0.78	9.508176971937634e-6
0.785	0.000010882693198419742
0.79	0.000012470766302767588
0.795	0.000014308169968841672
0.8	0.000016437155308453457
0.805	0.000018907721097939587
0.81	0.00002177915418167947
0.8150000000000001	0.00002512190242320543
0.8200000000000001	0.000029019858228224745
0.8250000000000001	0.00003357315056857753
0.8300000000000001	0.00003890156886202728
0.835	0.000045148774674351856
0.84	0.00005248749921702851
0.845	0.0000611259789640299
0.85	0.00007131595235991693
0.855	0.00008336263287408264
0.86	0.00009763719481319943
0.865	0.0001145924682221343
0.87	0.00013478275146909313
0.875	0.00015888893352157006
0.88	0.00018775049866941006
